# WPT 趋势基线（绝对数口径，见 docs/goal/rendering-compat.md「测试资产化」）
# date,mode,wpt_data_ref,total,passed,rate_pct,extra,git_sha,note
2026-08-07,upstream,v1.10,16269,13296,81.7,failed=2973;skipped=0,c18555a,
2026-08-08,upstream,v1.10,16269,13251,81.4,failed=3018;skipped=0,bad4b3b,
2026-08-15,upstream,v1.10,16269,13265,81.5,failed=3004;skipped=0,238e1db,
2026-08-22,upstream,v1.10,319,292,91.5,failed=27;skipped=0,37f5b8a,
2026-08-31,upstream,v1.10,16814,13931,82.9,failed=2883;skipped=0,a037a3cea,R3866 mismatch threshold 0.5%->0.01% (upstream semantics alignment; +79 flips 0 regressions; engine unchanged)
2026-08-31,upstream,v1.10,16814,13939,82.9,failed=2875;skipped=0,1965b2077,R3867 ::first-letter paint-side color slice (+8 flips 0 regressions; stack-frame hardening for compute_styles_recursive)
2026-08-31,upstream,v1.10,16814,13939,82.9,failed=2875;skipped=0,903957054,R3868 ::first-letter typographic letter unit cluster (zero verdict flips; driving 4.41->1.70 capped by pre-existing ref-side inline-span bug, new slice filed)
2026-08-31,upstream,v1.10,16814,13938,82.9,failed=2876;skipped=0,95f4800cd,R3869-P investigation round (0 net code; block-leading inline span bg occlusion root-caused; two unification experiments reverted net<=0; narrow-gate design filed)
2026-08-31,upstream,v1.10,16814,13938,82.9,failed=2876;skipped=0,95f4800cd,R3870-P narrow-gate implementation falsified (4 iterations best net -5, all reverted; bug escalated to inline-bg full fragment-ization RFC)
2026-08-31,upstream,v1.10,16814,13939,82.9,failed=2875;skipped=0,436d879c6,R3871 ::first-letter Dutch ij digraph recognition (zero regressions; selection logic correct, residual = ref-side font/AA drift)
2026-08-31,upstream,v1.10,16814,13941,82.9,failed=2873;skipped=0,2a0d6968b,R3872 margin-trim self-collapsing edge child trims both margins (net +3, zero regressions)
2026-08-31,upstream,v1.10,16814,13940,82.9,failed=2874;skipped=0,9df7774fc,R3873-P margin-trim sibling trio attributed to collapse-through modeling gap (predicate extension net 0 reverted; RFC-gated with R3804 interlock)
2026-08-31,upstream,v1.10,16814,13940,82.9,failed=2874;skipped=0,f5edf40c3,R3874 @media not unknown -> always-match (MQ4; net 0); cascade-order corruption discovered (in-order walk prototype net -96 reverted, separate slice)
2026-08-31,upstream,v1.10,16814,13940,82.9,failed=2874;skipped=0,df8b09bcf,R3875-P shallow-scatter five clusters attributed (abspos %margins -> taffy RFC batch; origin-005/008 rounding; quotes/marker feature-gated)
2026-08-31,upstream,v1.10,16814,13941,82.9,failed=2873;skipped=0,a442da2df,R3876-P shallow-scatter well exhausted (abspos-024 = RTL block alignment gap, new feature-gated filing; c43-rpl-ibx Phase A; inline-box-001 R109)
